customer_id,full_name,nif,phone,address,id_verified,total_rentals,avg_return_days,late_returns,churn_risk_score,join_date,still_active
1,William Henriques,350947651,(351) 244451332,"R. de Simões, 9, 2690-062 Queluz",1,2,19.5,1,0.49,2024-02-15,1
2,Íris Domingues,861564099,+351910299778,"Rua de Gomes, 26, 2479-785 Trofa",1,2,47.0,0,0.153,2022-02-21,1
3,Mafalda Reis-Gaspar,475398913,228 600 141,"Av do Carvão, 84, 2656-194 Braga",1,2,12.0,0,0.2,2023-03-01,1
4,Márcio Cruz,542451908,910 091 237,"Avenida Freitas, 217, 7852-695 Caniço",1,4,15.5,1,0.299,2022-12-25,1
5,Joel Guerreiro,261103565,(351) 965037777,"Av de Guerreiro, 645, 7085-648 Angra do Heroísmo",1,3,41.7,0,0.39,2023-02-13,1
6,Lisandro Anjos-Barbosa,299202376,(351) 935652817,"Avenida Prof. Francisco Caldeira Cabral, S/N, 5516-020 Vila Nova de Foz Côa",1,4,10.8,0,0.143,2024-03-23,1
7,Ivo Reis,696922953,(351) 297 272 560,"Travessa da Foz, 113, 5785-188 Bragança",1,0,,0,0.177,2024-11-10,1
8,Ricardo Borges,619411839,+351967960229,"Av da Ribeira, S/N, 7590-686 Porto Santo",1,3,27.0,1,0.209,2023-04-29,1
9,Gabriela Leal,934242406,(351) 936 405 308,"Rua Garcia, 74, 8325-269 Marinha Grande",1,3,18.0,0,0.27,2024-07-08,1
10,Noah do Freitas,283463348,(351) 960 748 884,"Rua Marta Soares, S/N, 1207-236 Braga",1,2,16.0,0,0.336,2023-11-12,1
11,Melissa Teixeira,334375186,+351921580217,"Alameda Erica Antunes, S/N, 4320-908 Fundão",1,4,18.0,1,0.212,2023-05-17,1
12,Vasco Batista,940865424,(351) 930383560,"Av de Vinte e Quatro de Agosto, 52, 2323-946 Horta",1,4,14.8,2,0.643,2023-02-01,1
13,Maria Campos,826928550,923578141,"Largo Salomé Carneiro, 14, 6588-839 Loures",1,2,11.0,0,0.235,2022-08-03,1
14,Catarina Silva,350952889,(351) 926503711,"R. de Lima, 40, 7627-091 Torres Vedras",1,7,14.6,4,0.578,2022-04-19,1
15,Nuno Silva,947039696,969 415 592,"Travessa de Araújo, 14, 6969-284 Caldas da Rainha",1,2,50.5,0,0.209,2022-10-17,1
16,Lisandro Brito,359176504,923 557 571,"Av das Pirogas, 23, 5121-339 Matosinhos",1,2,1.5,0,0.368,2024-07-10,1
17,Flor-Mélanie Santos,883009954,(351) 912589001,"Avenida de Martins, 35, 9596-543 Caniço",1,2,7.5,0,0.223,2022-07-23,1
