customer_id,full_name,nif,phone,address,id_verified,total_rentals,avg_return_days,late_returns,churn_risk_score,join_date,still_active
1,Isabela do Figueiredo,350947651,+351911559842,"Rua de Ramalde, 767, 5059-903 Porto",1,2,19.5,1,0.49,2024-02-15,1
2,Ariana-Carminho Vicente,861564099,(351) 917915927,"Alameda dos Escaleres, 218, 9937-757 Freamunde",1,2,47.0,0,0.153,2022-02-21,1
3,Vasco de Gaspar,475398913,279036555,"Alameda do Dr. Antunes Guimarães, 52, 1363-577 Coimbra",1,2,12.0,0,0.2,2023-03-01,1
4,Erika Figueiredo,542451908,(351) 927 855 090,"Av Débora Garcia, 91, 8278-049 Almeirim",1,4,15.5,1,0.299,2022-12-25,1
5,Lucas Pires,261103565,(351) 279830641,"Rua Mauro Sá, 42, 4777-164 Costa da Caparica",1,3,41.7,0,0.39,2023-02-13,1
6,Joel Fernandes-Henriques,299202376,(351) 294879965,"Rua de Ribeiro, 130, 8729-559 Reguengos de Monsaraz",1,4,10.8,0,0.143,2024-03-23,1
7,Kévim Coelho-Pires,696922953,923188211,"Avenida de Antunes, 6, 1526-309 Lagoa",1,0,,0,0.177,2024-11-10,1
8,Rúben Brito,619411839,+351921485003,"Praça do Varejão, 1, 6316-039 Sintra",1,3,27.0,1,0.209,2023-04-29,1
9,Samuel do Nunes,934242406,291570279,"Alameda Vaz, 8, 1455-951 Gandra",1,3,18.0,0,0.27,2024-07-08,1
10,Débora Paiva,283463348,920393728,"Alameda Sérgio Loureiro, S/N, 3662-380 Porto Santo",1,2,16.0,0,0.336,2023-11-12,1
11,Marta Faria,334375186,(351) 216799253,"Alameda de Pinto, 288, 9275-907 São Mamede de Infesta",1,4,18.0,1,0.212,2023-05-17,1
12,Marco Domingues,940865424,+351933735328,"Av Kelly Correia, 86, 1108-473 Gouveia",1,4,14.8,2,0.643,2023-02-01,1
13,Alexandra de Antunes,826928550,960695759,"Av Sara Correia, 83, 7945-838 Vendas Novas",1,2,11.0,0,0.235,2022-08-03,1
14,Emma Ramos,350952889,(351) 242913909,"R. Lourenço, 4, 3174-973 Costa da Caparica",1,7,14.6,4,0.578,2022-04-19,1
15,Petra Silva,947039696,914730933,"Avenida Magalhães, 82, 5479-931 Santo Tirso",1,2,50.5,0,0.209,2022-10-17,1
16,Simão da Teixeira,359176504,966 599 115,"Av Luciana Pereira, 418, 5584-594 Guimarães",1,2,1.5,0,0.368,2024-07-10,1
17,Tiago Soares,883009954,(351) 927 425 042,"Praça Rui Loureiro, 43, 6004-756 Cantanhede",1,2,7.5,0,0.223,2022-07-23,1
18,Eduarda Barros,873449668,925 263 511,"Alameda Silva, 65, 2230-161 Marco de Canaveses",1,2,13.5,0,0.387,2022-09-05,1
19,José Azevedo,679899470,+351297945281,"Avenida do Seminário, 3, 2540-777 Viana do Castelo",1,0,,0,0.384,2023-06-05,1
20,Márcio Pires,170690149,251 048 270,"R. Yasmin Soares, 56, 8398-925 Lagos",1,2,51.0,0,0.381,2022-12-07,1
21,Flor Vaz,110384715,(351) 911654555,"R. da Conceição, 21, 9458-154 Pombal",1,3,7.7,0,0.083,2022-11-29,1
22,Alícia Gonçalves,566505188,939 969 801,"Av Inês Castro, 92, 9372-397 Évora",1,2,5.5,0,0.187,2023-09-10,1
23,Mafalda Fernandes,016744923,203536056,"Largo Benedita Loureiro, 658, 3799-645 Guarda",1,1,9.0,0,0.33,2024-01-11,1
24,Benedita de Oliveira,359698504,960 367 745,"Av Wilson Leite, S/N, 8805-659 Entroncamento",1,2,17.0,0,0.219,2023-05-16,1
25,Ângelo Baptista,056693754,(351) 220329324,"Alameda de Ribeiro, 914, 6226-994 Figueira da Foz",0,0,,0,0.085,2023-08-23,1
26,Sara Macedo,428617892,(351) 936332917,"Praça Marta Branco, 48, 3920-655 Almeirim",1,2,90.0,0,0.149,2024-04-12,1
27,Vítor Sousa,714025038,(351) 917460395,"Alameda de Fernandes, 7, 4407-749 Almada",1,3,12.3,1,0.557,2023-10-07,1
28,José Borges,762648163,+351928501076,"Travessa Baptista, 7, 2033-275 Póvoa de Varzim",1,4,35.8,1,0.428,2024-03-04,1
29,Madalena Nascimento,493680635,+351968445825,"Av Ana Oliveira, 36, 3169-358 Tomar",1,0,,0,0.211,2023-07-24,1
30,Jéssica de Soares,301012789,+351918264840,"Av de Lima, 82, 5088-234 Vila Nova de Foz Côa",1,1,90.0,0,0.393,2024-03-29,1
31,Raquel Esteves,519304852,226136525,"Avenida de Gaspar, 71, 2870-103 Paços de Ferreira",1,0,,0,0.195,2024-02-17,1
32,Nicole do Torres,775867036,(351) 960 365 357,"Avenida de José Régio, 6, 2157-670 Oliveira de Azeméis",1,1,13.0,1,0.739,2023-11-29,1
33,Paulo Matias,203634443,(351) 913128133,"Praça Pacheco, 91, 3084-289 Sintra",1,3,25.0,1,0.596,2022-10-29,1
34,Margarida Neves,468963318,(351) 929718247,"R. Mendes, S/N, 9100-907 Vila Nova de Gaia",0,2,12.5,0,0.182,2022-07-31,1
35,Valentina de Carneiro,233576170,(351) 911 743 720,"Alameda Ducla Soares, 1, 5061-328 Vizela",1,2,49.5,0,0.124,2023-03-22,1
